ob,Type,PD,QD,PG,QG,bsh,Tb,base,ap,aq,bp,bq,cp,cq
1,PV,51,27,0,0,0,0.955,138,1,1,0,0,0,0
2,PQ,20,9,0,0,0,1,138,1,1,0,0,0,0
3,PQ,39,10,0,0,0,1,138,1,1,0,0,0,0
4,PV,39,12,0,0,0,0.998,138,1,1,0,0,0,0
5,PQ,0,0,0,0,-40,1,138,1,1,0,0,0,0
6,PV,52,22,0,0,0,0.99,138,1,1,0,0,0,0
7,PQ,19,2,0,0,0,1,138,1,1,0,0,0,0
8,PV,28,0,0,0,0,1.015,345,1,1,0,0,0,0
9,PQ,0,0,450,0,0,1,345,1,1,0,0,0,0
10,PV,0,0,0,0,0,1.05,345,1,1,0,0,0,0
11,PQ,70,23,0,0,0,1,138,1,1,0,0,0,0
12,PV,47,10,85,0,0,0.99,138,1,1,0,0,0,0
13,PQ,34,16,0,0,0,1,138,1,1,0,0,0,0
14,PQ,14,1,0,0,0,1,138,1,1,0,0,0,0
15,PV,90,30,0,0,0,0.97,138,1,1,0,0,0,0
16,PQ,25,10,0,0,0,1,138,1,1,0,0,0,0
17,PQ,11,3,0,0,0,1,138,1,1,0,0,0,0
18,PV,60,34,0,0,0,0.973,138,1,1,0,0,0,0
19,PV,45,25,0,0,0,0.963,138,1,1,0,0,0,0
20,PQ,18,3,0,0,0,1,138,1,1,0,0,0,0
21,PQ,14,8,0,0,0,1,138,1,1,0,0,0,0
22,PQ,10,5,0,0,0,1,138,1,1,0,0,0,0
23,PQ,7,3,0,0,0,1,138,1,1,0,0,0,0
24,PV,13,0,0,0,0,0.992,138,1,1,0,0,0,0
25,PV,0,0,220,0,0,1.05,138,1,1,0,0,0,0
26,PV,0,0,314,0,0,1.015,345,1,1,0,0,0,0
27,PV,71,13,0,0,0,0.968,138,1,1,0,0,0,0
28,PQ,17,7,0,0,0,1,138,1,1,0,0,0,0
29,PQ,24,4,0,0,0,1,138,1,1,0,0,0,0
30,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
31,PV,43,27,7,0,0,0.967,138,1,1,0,0,0,0
32,PV,59,23,0,0,0,0.964,138,1,1,0,0,0,0
33,PQ,23,9,0,0,0,1,138,1,1,0,0,0,0
34,PV,59,26,0,0,14,0.986,138,1,1,0,0,0,0
35,PQ,33,9,0,0,0,1,138,1,1,0,0,0,0
36,PV,31,17,0,0,0,0.98,138,1,1,0,0,0,0
37,PQ,0,0,0,0,-25,1,138,1,1,0,0,0,0
