from,to,R,X,bsh,a,phi,Imax
01,02,0.01938,0.05917,0.0528,1.000,0.0,1.0
01,05,0.05403,0.22304,0.0492,1.000,0.0,1.0
02,03,0.04699,0.19797,0.0438,1.000,0.0,1.0
02,04,0.05811,0.17632,0.0340,1.000,0.0,1.0
02,05,0.05695,0.17388,0.0346,1.000,0.0,1.0
03,04,0.06701,0.17103,0.0128,1.000,0.0,1.0
04,05,0.01335,0.04211,0.0000,1.000,0.0,1.0
04,07,0.00000,0.20912,0.0000,0.978,0.0,1.0
04,09,0.00000,0.55618,0.0000,0.969,0.0,1.0
05,06,0.00000,0.25202,0.0000,0.932,0.0,1.0
06,11,0.09498,0.19890,0.0000,1.000,0.0,1.0
06,12,0.12291,0.25581,0.0000,1.000,0.0,1.0
06,13,0.06615,0.13027,0.0000,1.000,0.0,1.0
07,08,0.00000,0.17615,0.0000,1.000,0.0,1.0
07,09,0.00000,0.11001,0.0000,1.000,0.0,1.0
09,10,0.03181,0.08450,0.0000,1.000,0.0,1.0
09,14,0.12711,0.27038,0.0000,1.000,0.0,1.0
10,11,0.08205,0.19207,0.0000,1.000,0.0,1.0
12,13,0.22092,0.19988,0.0000,1.000,0.0,1.0
13,14,0.17093,0.34802,0.0000,1.000,0.0,1.0
