num,name,level,type,v,ang,pd,qd,pg,qg,baseKV,Bsh,Gsh
1,Bus 1,HV,SL,1.06,0,0,0,0,0,1,0,0
2,Bus 2,HV,PV,1.045,0,21.7,12.7,40,0,1,0,0
3,Bus 3,HV,PV,1.01,0,94.2,19,0,0,1,0,0
4,Bus 4,HV,PQ,1,0,47.8,-3.9,0,0,1,0,0
5,Bus 5,HV,PQ,1,0,7.6,1.6,0,0,1,0,0
6,Bus 6,LV,PV,1.07,0,11.2,7.5,0,0,1,0,0
7,Bus 7,ZV,PQ,1,0,0,0,0,0,1,0,0
8,Bus 8,TV,PV,1.09,0,0,0,0,0,1,0,0
9,Bus 9,LV,PQ,1,0,29.5,16.6,0,0,1,0.19,0
10,Bus 10,LV,PQ,1,0,9,5.8,0,0,1,0,0
11,Bus 11,LV,PQ,1,0,3.5,1.8,0,0,1,0,0
12,Bus 12,LV,PQ,1,0,6.1,1.6,0,0,1,0,0
13,Bus 13,LV,PQ,1,0,13.5,5.8,0,0,1,0,0
14,Bus 14,LV,PQ,1,0,14.9,5,0,0,1,0,0
